"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Inactivated Influenza A/H9N2 Vaccine With and Without MF59 Adjuvant in Ambulatory Adults","Completed","No Results Available","Influenza","Biological: Influenza A/H9N2 vaccine|Drug: MF59 adjuvant","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00133471"
2,"Safety and Immunogenicity of Inactivated Influenza Virus Vaccine Among Healthy Children 6-12 Weeks of Age","Completed","No Results Available","Inactivated Influenza Vaccine","Biological: 2005-2006 trivalent inactivated influenza vaccine","Seattle Children's Hospital and Regional Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00242424"
3,"Influenza Immunity Against Pandemic Respiratory Virus","Completed","No Results Available","Influenza","Biological: FluMist|Biological: Fluzone","Stanford University, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT00138281"
4,"St. Jude Open Label H5 Trial","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","St. Jude Children's Research Hospital, Memphis, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00311675"
5,"Immunogenicity and Safety of Different Doses of Fluzone® Influenza","Completed","No Results Available","Influenza","Biological: Fluzone® (IM)|Biological: Fluzone®","Saint Louis University, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00253734"
6,"Revaccination With Subunit Influenza A/Vietnam/1203/2004 (H5N1) Vaccine","Completed","No Results Available","Influenza","Biological: Influenza A/Vietnam/1203/2004 (H5N1; sanofi pasteur)","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00240903"
7,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Influenza virus vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00835926"
8,"Safety and Immunogenicity of the 2005-2006 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza Virus Vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00258830"
9,"Safety and Immunogenicity of the World Health Organization (WHO) Formulation of the 2004-2005 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza virus vaccine 2004-2005 formulation","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00831987"
10,"Study to Collect Sera for Immunogenicity Testing in Children Vaccinated With Fluzone®","Completed","Has Results","Influenza","Biological: Influenza virus vaccine (Pediatric formulation)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00836953"
11,"Phase IV Trial to Collect Safety Data and Sera in Healthy Children Given Fluzone Vaccine","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00258817"
12,"Study of Safety and Immunogenicity of Fluzone® in Healthy Children","Completed","Has Results","Influenza","Biological: Influenza Vaccine 2004-2005 Paediatric Formulation","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00831675"
13,"Trivalent Baculovirus-expressed Influenza HA Vaccine in Adults With Non-Hodgkin's B-cell Lymphoma","Completed","No Results Available","Influenza","Biological: Trivalent inactivated influenza vaccine|Biological: Trivalent Baculovirus-expressed Influenza HA vaccine","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00307177"
14,"Half vs Full Dose Influenza Vaccine","Completed","No Results Available","Influenza","Biological: Fluzone® (Aventis Pasteur inactivated influenza vaccine)","Pentagon, Washington, District of Columbia, United States|Walter Reed Army Medical Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00283283"
15,"Phase II Study to Investigate the Kinetics of the Immune Response Generated by Influenza Virus Vaccine.","Completed","No Results Available","Influenza","Biological: CAIV-T|Biological: TIV|Biological: Placebo","David M. Radin, MD, Stamford, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00192309"
16,"Inactivated Influenza Vaccine in Infants 10-22 Weeks of Age","Completed","No Results Available","Influenza","Biological: Fluzone","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00231920"
17,"H5N1 Vaccine Intramuscular Versus Intradermal in Healthy Adults","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00310206"
18,"Trial to Investigate Immune Responses Elicited by a Liquid Formulation of Influenza Virus Vaccine (CAIV-T) in Healthy Children","Completed","No Results Available","Influenza","Biological: CAIV-T 10^7|Biological: CAIVT 10^5|Biological: Placebo|Biological: TIV","Suncoast Clinical Research, Inc., New Port Richey, Florida, United States|Division of Allergy Immunology and Infectious Disease, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00192322"
19,"Open Label Evaluation of H5N1 Vaccine at Vaccine Manufacturing Facilities","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1","Sanofi Pasteur, Swiftwater, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00311649"
20,"Safety and Dose Study of Peramivir for Influenza Treatment","Completed","No Results Available","Influenza","Drug: Peramivir","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00297050"
21,"Safety of and Immune Response to a Bird Flu Virus Vaccine (H9N2) in Healthy Adults (Study A)","Completed","No Results Available","Influenza|Virus Diseases","Biological: H9N2 (6-2) AA ca Reassortant (A/chicken/Hong Kong/G9/97 x A/Ann Arbor/6/60 ca)","Johns Hopkins School of Public Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00110279"
22,"Study to Evaluate the Effectiveness of FluMist Vaccination in a School-Based Intervention Program","Completed","No Results Available","Influenza","Biological: FluMist","Division of General Pediatrics, University of Maryland School of Medicine, Baltimore, Maryland, United States|Division of Allergy and Infectious Diseases, University of Washington School of Medicine, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00192218"
23,"Immunogenicity and Safety of Trivalent Recombinant Hemagglutinin Influenza Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: Influenza Vaccine, recombinant Hemagglutinin","Rochester Medical Center, Rochester, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|University of Virginia Health System, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00328107"
24,"H5 Booster After a Two Dose Schedule","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","UCLA Center For Vaccine Research, Torrance, California, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|University of Rochester Medical Center - Strong Memorial Hospital - Infectious Diseases, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00240968"
