"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Inactivated Influenza A/H9N2 Vaccine With and Without MF59 Adjuvant in Ambulatory Adults","Completed","No Results Available","Influenza","Biological: Influenza A/H9N2 vaccine|Drug: MF59 adjuvant","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00133471"
2,"A Safety and Immunogenicity Trial in Adults 65 Years of Age or Over to Prevent Influenza","Completed","No Results Available","Influenza","Biological: AVX502|Biological: Placebo","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00706732"
3,"A Phase 1/2 Clinical Trial of an Alphavirus Replicon Vaccine for Influenza","Completed","No Results Available","Influenza","Biological: AVX502|Biological: Placebo","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00440362"
4,"Safety and Immunogenicity of Inactivated Influenza Virus Vaccine Among Healthy Children 6-12 Weeks of Age","Completed","No Results Available","Inactivated Influenza Vaccine","Biological: 2005-2006 trivalent inactivated influenza vaccine","Seattle Children's Hospital and Regional Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00242424"
5,"Influenza Immunity Against Pandemic Respiratory Virus","Completed","No Results Available","Influenza","Biological: FluMist|Biological: Fluzone","Stanford University, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT00138281"
6,"St. Jude Open Label H5 Trial","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","St. Jude Children's Research Hospital, Memphis, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00311675"
7,"Higher Dose Intradermal H5 Vaccine","Completed","Has Results","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1|Drug: Placebo (IM)|Drug: Placebo (ID)","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00439335"
8,"Proteomic Profiling for Influenza Vaccination - FluMist","Completed","No Results Available","Influenza","Biological: FluMist","Eastern Virginia Medical School, Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00385281"
9,"Interferon as a Mucosal Adjuvant for Influenza Vaccine Given Intranasally","Completed","Has Results","Influenza","Biological: Trivalent inactivated influenza virus vaccine (2006-2007 formulation)|Biological: Type 1 interferon","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00436046"
10,"Immunogenicity and Safety of Different Doses of Fluzone® Influenza","Completed","No Results Available","Influenza","Biological: Fluzone® (IM)|Biological: Fluzone®","Saint Louis University, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00253734"
11,"Revaccination With Subunit Influenza A/Vietnam/1203/2004 (H5N1) Vaccine","Completed","No Results Available","Influenza","Biological: Influenza A/Vietnam/1203/2004 (H5N1; sanofi pasteur)","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00240903"
12,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Split, Inactivated, Trivalent Influenza vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00743275"
13,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Influenza virus vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00835926"
